FLD_MATCODIGO;FLD_MATNOMBRE;TIPO;FECHA;MMP;StockSeguridad;PtoReorden;StockMaximo;StockMinimo;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/05/2019 0:00:00.000;42824;1584,91;56575,10;99399,10;42824;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/05/2019 0:00:00.000;19476,67;182,39;26412,06;45888,73;19476,67;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/05/2019 0:00:00.000;23404,67;1513,70;32035,38;55440,04;23404,67;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/05/2019 0:00:00.000;34216,67;722,75;45503,65;79720,32;34216,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/05/2019 0:00:00.000;20733,33;407,74;27561,67;48295,00;20733,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/05/2019 0:00:00.000;32033,33;1028,60;43586,08;75619,42;32033,33;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/05/2019 0:00:00.000;54342,50;1923,83;71060,44;125402,94;54342,50;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/05/2019 0:00:00.000;219084,33;911,25;292549,11;511633,44;219084,33;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/05/2019 0:00:00.000;23115;1665,56;34775,95;57890,95;23115;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/05/2019 0:00:00.000;33943,80;892,87;44758,12;78701,92;33943,80;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/05/2019 0:00:00.000;65406,67;1389,70;87859,67;153266,34;65406,67;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/05/2019 0:00:00.000;62387,67;2795,89;82936,56;145324,22;62387,67;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/05/2019 0:00:00.000;248776,67;3625,37;328870,76;577647,42;248776,67;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/05/2019 0:00:00.000;82810,80;1828,12;114957,29;197768,09;82810,80;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/06/2019 0:00:00.000;56707;755,61;75601,76;132308,76;56707;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/06/2019 0:00:00.000;26233,33;2567,31;36524,95;62758,29;26233,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/06/2019 0:00:00.000;33410;528,96;45050,57;78460,57;33410;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/06/2019 0:00:00.000;19700;327,10;26539,72;46239,72;19700;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/06/2019 0:00:00.000;32966,67;874,65;44220,96;77187,62;32966,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/06/2019 0:00:00.000;53622,50;1595,09;71518,01;125140,51;53622,50;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/06/2019 0:00:00.000;43014;516,74;56979,29;99993,29;43014;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/06/2019 0:00:00.000;20556,67;233,70;27274,50;47831,17;20556,67;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/06/2019 0:00:00.000;217101;3053,40;293272,55;510373,55;217101;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/06/2019 0:00:00.000;24158,33;1374,57;34662,48;58820,81;24158,33;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/06/2019 0:00:00.000;32812;877,45;43583,35;76395,35;32812;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/06/2019 0:00:00.000;66180;748,49;87901,67;154081,67;66180;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/06/2019 0:00:00.000;64200;2111,64;85175,32;149375,32;64200;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/06/2019 0:00:00.000;245203,33;4497,54;326643,17;571846,50;245203,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/06/2019 0:00:00.000;76381,67;1671,82;108009,72;184391,38;76381,67;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/06/2019 0:00:00.000;44366,67;146,28;59574,70;103941,37;44366,67;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/06/2019 0:00:00.000;32706,67;580,29;43324,15;76030,81;32706,67;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/06/2019 0:00:00.000;24804,33;322,72;33113,59;57917,93;24804,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/06/2019 0:00:00.000;92624;1762,77;129344,35;221968,35;92624;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/06/2019 0:00:00.000;37088,07;639,04;49894,07;86982,14;37088,07;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/07/2019 0:00:00.000;44576,67;1668,96;61183,78;105760,45;44576,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/07/2019 0:00:00.000;19186,67;124,85;25872,68;45059,34;19186,67;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/07/2019 0:00:00.000;28430;1403,46;37460,15;65890,15;28430;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/07/2019 0:00:00.000;37153,33;740,93;49455,87;86609,21;37153,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/07/2019 0:00:00.000;22400;712,90;30398,51;52798,51;22400;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/07/2019 0:00:00.000;34346,67;1136,60;46664,28;81010,95;34346,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/07/2019 0:00:00.000;55108,33;1425,06;72515,23;127623,56;55108,33;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/07/2019 0:00:00.000;210940,67;2940,06;290185,55;501126,22;210940,67;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/07/2019 0:00:00.000;25765;1456,72;35298,04;61063,04;25765;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/07/2019 0:00:00.000;33096,67;563,08;43720,19;76816,85;33096,67;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/07/2019 0:00:00.000;77476,67;4762,15;106801,99;184278,66;77476,67;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/07/2019 0:00:00.000;60261,67;1440,68;81569,34;141831,01;60261,67;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/07/2019 0:00:00.000;232363,33;4590,25;322851,69;555215,02;232363,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/07/2019 0:00:00.000;80203,13;1318,59;111769,12;191972,26;80203,13;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/07/2019 0:00:00.000;43533,33;927,63;60086,14;103619,48;43533,33;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/07/2019 0:00:00.000;31940;965,40;44459,58;76399,58;31940;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/07/2019 0:00:00.000;24539,33;186,85;33006,08;57545,42;24539,33;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/07/2019 0:00:00.000;94882,93;2653,35;136813,80;231696,73;94882,93;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/07/2019 0:00:00.000;37908;295,49;50897,00;88805,00;37908;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/07/2019 0:00:00.000;58770,33;769,41;77980,09;136750,42;58770,33;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/08/2019 0:00:00.000;48714,67;1197,63;64541,65;113256,32;48714,67;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/08/2019 0:00:00.000;19243,33;152,94;25919,02;45162,35;19243,33;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/08/2019 0:00:00.000;34505;717,53;46197,25;80702,25;34505;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/08/2019 0:00:00.000;85776,67;5262,19;113293,73;199070,39;85776,67;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/08/2019 0:00:00.000;72618,67;3536,80;95265,72;167884,39;72618,67;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/08/2019 0:00:00.000;226163,33;7056,84;322166,02;548329,35;226163,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/08/2019 0:00:00.000;81762;1067,41;109300,89;191062,89;81762;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/08/2019 0:00:00.000;43133,33;445,83;58624,51;101757,84;43133,33;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/08/2019 0:00:00.000;33723,33;742,42;46191,66;79915,00;33723,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/08/2019 0:00:00.000;24940,67;602,65;33304,37;58245,04;24940,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/08/2019 0:00:00.000;104323,73;2672,05;141844,66;246168,39;104323,73;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/08/2019 0:00:00.000;39262,83;532,55;52160,38;91423,21;39262,83;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/08/2019 0:00:00.000;60270,50;1049,08;79665,98;139936,48;60270,50;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/08/2019 0:00:00.000;31143,33;2415,52;40996,72;72140,06;31143,33;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/08/2019 0:00:00.000;40123,33;1384,05;53205,91;93329,24;40123,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/08/2019 0:00:00.000;23333,33;632,13;30931,90;54265,24;23333,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/08/2019 0:00:00.000;36813,33;1273,54;49779,12;86592,45;36813,33;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/08/2019 0:00:00.000;56056,67;1532,87;74626,45;130683,12;56056,67;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/08/2019 0:00:00.000;204157,33;4138,58;286807,55;490964,89;204157,33;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/08/2019 0:00:00.000;30380;2522,45;39645,38;70025,38;30380;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/09/2019 0:00:00.000;46921,33;952,38;62019,20;108940,53;46921,33;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/09/2019 0:00:00.000;18623,33;575,11;26615,59;45238,93;18623,33;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/09/2019 0:00:00.000;32746,67;2891,68;44271,27;77017,94;32746,67;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/09/2019 0:00:00.000;39396,67;1685,24;51702,87;91099,54;39396,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/09/2019 0:00:00.000;23633,33;1034,98;31374,39;55007,72;23633,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/09/2019 0:00:00.000;39213,33;1880,42;50891,58;90104,92;39213,33;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/09/2019 0:00:00.000;55116,67;375,01;74427,10;129543,77;55116,67;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/09/2019 0:00:00.000;195977,33;6503,10;285597,90;481575,23;195977,33;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/09/2019 0:00:00.000;30073,33;2099,64;39142,18;69215,51;30073,33;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/09/2019 0:00:00.000;34771,33;341,92;46377,50;81148,83;34771,33;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/09/2019 0:00:00.000;92833,33;6861,15;121809,78;214643,11;92833,33;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/09/2019 0:00:00.000;71164,67;2684,81;93014,38;164179,05;71164,67;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/09/2019 0:00:00.000;217023,33;8656,99;319684,03;536707,36;217023,33;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/09/2019 0:00:00.000;74339,63;1650,71;105105,56;179445,20;74339,63;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/09/2019 0:00:00.000;42845,33;431,63;58833,30;101678,64;42845,33;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/09/2019 0:00:00.000;33943,33;588,97;44949,57;78892,90;33943,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/09/2019 0:00:00.000;23750;377,18;33015,68;56765,68;23750;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/09/2019 0:00:00.000;99626,60;2596,09;135385,99;235012,59;99626,60;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/09/2019 0:00:00.000;37862,83;304,49;51328,52;89191,35;37862,83;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/09/2019 0:00:00.000;59213,83;597,04;79031,22;138245,06;59213,83;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/10/2019 0:00:00.000;33620;1867,03;43380,60;77000,60;33620;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/10/2019 0:00:00.000;35270;888,43;48810,36;84080,36;35270;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/10/2019 0:00:00.000;20833,33;804,05;28993,35;49826,69;20833,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/10/2019 0:00:00.000;36110;947,52;49463,40;85573,40;36110;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/10/2019 0:00:00.000;55499,17;603,61;74593,18;130092,35;55499,17;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/10/2019 0:00:00.000;197700,33;4474,52;280784,06;478484,40;197700,33;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/10/2019 0:00:00.000;29790;1820,93;38387,87;68177,87;29790;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/10/2019 0:00:00.000;35199,33;614,73;46472,08;81671,42;35199,33;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/10/2019 0:00:00.000;89713,33;5696,90;119310,99;209024,33;89713,33;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/10/2019 0:00:00.000;74640;3737,77;99473,98;174113,98;74640;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/10/2019 0:00:00.000;215966,67;6348,99;312809,16;528775,83;215966,67;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/10/2019 0:00:00.000;71725,10;2219,60;104023,56;175748,66;71725,10;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/10/2019 0:00:00.000;43178,67;927,19;60095,43;103274,09;43178,67;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/10/2019 0:00:00.000;33493,33;896,36;44023,45;77516,78;33493,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/10/2019 0:00:00.000;23710;288,04;32751,93;56461,93;23710;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/10/2019 0:00:00.000;88885,53;1980,24;125814,29;214699,82;88885,53;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/10/2019 0:00:00.000;38505,17;336,88;51325,29;89830,46;38505,17;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/10/2019 0:00:00.000;59797,17;736,90;79484,21;139281,38;59797,17;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/10/2019 0:00:00.000;45330,33;1568,90;63003,13;108333,46;45330,33;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/10/2019 0:00:00.000;18420;242,48;25511,21;43931,21;18420;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/11/2019 0:00:00.000;47257;1163,28;64709,42;111966,42;47257;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/11/2019 0:00:00.000;19276,67;146,34;25819,24;45095,91;19276,67;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/11/2019 0:00:00.000;36040;2647,22;46545,69;82585,69;36040;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/11/2019 0:00:00.000;37620;1511,32;52504,79;90124,79;37620;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/11/2019 0:00:00.000;22366,67;679,81;30566,13;52932,80;22366,67;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/11/2019 0:00:00.000;38510;1294,25;51924,40;90434,40;38510;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/11/2019 0:00:00.000;56960,83;683,96;77242,42;134203,25;56960,83;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/11/2019 0:00:00.000;194297;4350,62;274890,75;469187,75;194297;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/11/2019 0:00:00.000;30181,67;2444,25;40916,35;71098,02;30181,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/11/2019 0:00:00.000;34761;629,02;47084,55;81845,55;34761;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/11/2019 0:00:00.000;90980;4840,57;122198,05;213178,05;90980;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/11/2019 0:00:00.000;77945,67;3407,16;102847,37;180793,03;77945,67;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/11/2019 0:00:00.000;217540;7405,87;315330,79;532870,79;217540;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/11/2019 0:00:00.000;77800,10;1334,50;108868,69;186668,79;77800,10;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/11/2019 0:00:00.000;42578,67;455,89;57984,44;100563,11;42578,67;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/11/2019 0:00:00.000;34233,33;647,83;45424,48;79657,81;34233,33;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/11/2019 0:00:00.000;24647,67;572,80;33558,46;58206,12;24647,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/11/2019 0:00:00.000;89093;4697,52;131353,36;220446,36;89093;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/11/2019 0:00:00.000;38811,67;358,34;52582,93;91394,60;38811,67;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/11/2019 0:00:00.000;62970;803,47;83503,50;146473,50;62970;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/12/2019 0:00:00.000;50403;1156,03;66353,01;116756,01;50403;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/12/2019 0:00:00.000;19323,33;602,01;26959,98;46283,32;19323,33;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/12/2019 0:00:00.000;22733,33;1057,99;31079,02;53812,35;22733,33;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/12/2019 0:00:00.000;38076,67;1569,78;52267,92;90344,58;38076,67;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/12/2019 0:00:00.000;56187,50;412,88;74628,47;130815,97;56187,50;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/12/2019 0:00:00.000;186503,67;5252,69;265901,38;452405,04;186503,67;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/12/2019 0:00:00.000;28350;2067,83;39395,25;67745,25;28350;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/12/2019 0:00:00.000;33940,67;396,71;46166,80;80107,46;33940,67;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/12/2019 0:00:00.000;87020;6795,11;122345,27;209365,27;87020;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/12/2019 0:00:00.000;82713,33;3212,92;107955,77;190669,10;82713,33;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/12/2019 0:00:00.000;211696,67;8490,98;310410,12;522106,79;211696,67;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/12/2019 0:00:00.000;72558,40;827,79;98865,97;171424,37;72558,40;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/12/2019 0:00:00.000;42609;355,43;57929,79;100538,79;42609;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/12/2019 0:00:00.000;36150;627,08;47856,91;84006,91;36150;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/12/2019 0:00:00.000;23812;369,10;32849,01;56661,01;23812;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/12/2019 0:00:00.000;96695,87;2714,47;133414,66;230110,53;96695,87;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/12/2019 0:00:00.000;35030;2948,28;46464,67;81494,67;35030;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/12/2019 0:00:00.000;39880;1357,67;53951,27;93831,27;39880;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/12/2019 0:00:00.000;39068,33;427,24;52007,73;91076,06;39068,33;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/12/2019 0:00:00.000;61426,67;836,24;81246,46;142673,12;61426,67;   
214-2500    ;ENALAPRILA CM 10 MG                                         ;FARMACO;01/01/2020 0:00:00.000;20400;809,41;28891,08;49291,08;20400;   
224-P119    ;TORULA RECIEN NACIDOS  4 GRAMOS  GRANEL                     ;INSUMO;01/01/2020 0:00:00.000;36730;1070,52;48421,92;85151,92;36730;   
214-0110    ;ACIDO ACETIL SALICILICO CM 100MG                            ;FARMACO;01/01/2020 0:00:00.000;34806,67;847,56;47076,26;81882,93;34806,67;   
214-4910    ;LEVOTIROXINA CM 100 MCG                                     ;FARMACO;01/01/2020 0:00:00.000;35786,67;899,21;49228,13;85014,80;35786,67;   
224-4544033 ;JERINGA DESECH LUER LOCK 20CC C/AG 21GX1.5                  ;INSUMO;01/01/2020 0:00:00.000;33942;558,45;46589,22;80531,22;33942;   
224-P113    ;GASA CURACION                                               ;INSUMO;01/01/2020 0:00:00.000;56920;614,18;76463,39;133383,39;56920;   
225-7205    ;GUANTE P/EXAMEN DES. MEDIANO                                ;INSUMO;01/01/2020 0:00:00.000;186573,33;3054,66;260106,86;446680,19;186573,33;   
241-1552    ;LANCETAS ACCUCHEK SOFTCLIK  DESECHABLES PAC. AMBULATORIO    ;INSUMO;01/01/2020 0:00:00.000;82793,33;5971,46;116586,24;199379,57;82793,33;   
225-7254    ;MASCARILLA DESECHABLE PLIEGUE C/ TIRA - ELASTICO            ;INSUMO;01/01/2020 0:00:00.000;28295;1380,57;39739,05;68034,05;28295;   
214-P122    ;ATORVASTATINA CM 40 MG                                      ;FARMACO;01/01/2020 0:00:00.000;75028;3716,84;100699,46;175727,46;75028;   
212-P008    ;CLONAZEPAM CM 0.5 MG                                        ;FARMACO;01/01/2020 0:00:00.000;24847;417,60;33562,37;58409,37;24847;   
225-7210    ;GUANTE P/EXAMEN DES. CHICO                                  ;INSUMO;01/01/2020 0:00:00.000;211640;5296,15;299138,65;510778,65;211640;   
212-P009    ;CLONAZEPAM CM 2 MG                                          ;FARMACO;01/01/2020 0:00:00.000;44275,67;670,26;58671,48;102947,15;44275,67;   
225-7200    ;GUANTE P/EXAMEN DES. GRANDE                                 ;INSUMO;01/01/2020 0:00:00.000;35996,67;579,57;47534,07;83530,73;35996,67;   
214-5920    ;PARACETAMOL CM 500 MG                                       ;FARMACO;01/01/2020 0:00:00.000;85188,13;721,22;116125,79;201313,92;85188,13;   
214-P112    ;OMEPRAZOL CP 20 MG                                          ;FARMACO;01/01/2020 0:00:00.000;65316,73;2547,70;97314,93;162631,66;65316,73;   
224-4528397 ;JERINGA DESECH  LUER LOCK 5-6CC AG 21GX1.5                  ;INSUMO;01/01/2020 0:00:00.000;39541;416,39;52489,82;92030,82;39541;   
224-4530397 ;JERINGA DESECH  LUER LOCK 10CC C/AG 21GX1.5                 ;INSUMO;01/01/2020 0:00:00.000;61276,67;503,96;81731,53;143008,19;61276,67;   
214-5142    ;METFORMINA CM 850 MG                                        ;FARMACO;01/01/2020 0:00:00.000;45723,33;1402,54;61248,64;106971,97;45723,33;   
214-1110073 ;CARBAMAZEPINA CM 200 MG                                     ;FARMACO;01/01/2020 0:00:00.000;18886,67;232,08;25449,59;44336,26;18886,67;   
